<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20170101 to 20170201</B><hr><pre>Selected parameters:
 1 Bartels rotation number
 2 ID for IMF spacecraft
 3 ID for SW Plasma spacecraft
 4 # of points in IMF averages 
 5 # of points in Plasma averag.
 6 Scalar B, nT
 7 Vector B Magnitude,nT
 8 Lat. Angle of B (GSE)
 9 Long. Angle of B (GSE)
10 BX, nT (GSE, GSM)
11 BY, nT (GSE)
12 BZ, nT (GSE)
13 BY, nT (GSM)
14 BZ, nT (GSM)
15 RMS_magnitude, nT
16 RMS_field_vector, nT
17 RMS_BX_GSE, nT
18 RMS_BY_GSE, nT
19 RMS_BZ_GSE, nT
20 SW Plasma Temperature, K
21 SW Proton Density, N/cm^3
22 SW Plasma Speed, km/s
23 SW Plasma flow long. angle
24 SW Plasma flow lat. angle
25 Alpha/Prot. ratio
26 sigma-T,K
27 sigma-n, N/cm^3)
28 sigma-V, km/s
29 sigma-phi V, degrees
30 sigma-theta V, degrees
31 sigma-ratio
32 Flow pressure
33 E elecrtric field 
34 Plasma betta
35 Alfen mach number
36 Magnetosonic Much num.
37 Kp index
38 R (Sunspot No.)
39 Dst-index, nT
40 ap_index, nT
41 f10.7_index
42 AE-index, nT
43 AL-index, nT
44 AU-index, nT
45 pc-index
46 Lyman_alpha
47 Proton flux (>1 Mev)
48 Proton flux (>2 Mev)
49 Proton flux (>4 Mev)
50 Proton flux (>10 Mev)
51 Proton flux (>30 Mev)
52 Proton flux (>60 Mev)
53 Flux FLAG

YEAR DOY HR   1   2  3  4   5     6     7     8     9    10    11    12    13    14    15    16    17    18    19       20    21    22    23    24    25       26    27    28    29    30    31    32     33     34    35   36  37 38    39  40    41   42    43    44    45    46        47       48       49       50       51       52  53
2017   1 20 2502 51 51  59  37   3.1   2.5 -21.5  68.1   0.9   2.1  -0.9   2.2  -0.4   0.3   1.8   1.1   0.9   1.2   94592.   5.0  478.  -1.3  -0.5 0.060   10358.   0.3    3.   0.6   0.6 0.003  2.37   0.19   4.83  17.2  7.6 20  12   -11   7  70.1   66   -40    26 999.9  3.73 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   1 21 2502 51 51  59  35   3.5   2.7   7.5 119.9  -1.3   2.3   0.3   2.2   0.9   0.2   2.2   1.2   1.2   1.3   95784.   5.0  475.  -1.4  -0.4 0.059   18695.   0.3    4.   0.5   0.6 0.003  2.33  -0.43   3.81  15.2  7.3 17  12   -12   6  70.1   81   -59    22 999.9  3.73 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017   1 22 2502 51 51  60  36   3.9   3.8  -4.9 155.2  -3.4   1.6  -0.3   1.6   0.1   0.2   0.8   0.4   0.4   0.5  105764.   5.6  460.  -1.8  -0.5 0.055   12623.   0.3    3.   1.0   0.7 0.002  2.41  -0.05   3.59  14.0  6.9 17  12   -11   6  70.1  110  -100    11 999.9  3.73 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017   1 23 2502 51 51  61  38   4.0   3.7   9.8 181.8  -3.7  -0.1   0.6  -0.3   0.6   0.2   1.4   0.4   1.3   0.3  101429.   5.3  463.  -1.2  -0.2 0.053    8091.   0.3    3.   0.4   0.8 0.003  2.30  -0.28   3.17  13.3  6.9 17  12    -8   6  70.1  101   -77    23 999.9  3.73 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017   2  0 2502 51 51  59  34   3.1   3.1   5.3 216.9  -2.5  -1.9   0.3  -1.9  -0.2   0.4   0.6   0.3   0.4   0.2  120027.   4.9  466.  -2.1  -0.2 0.054   13932.   0.3    2.   0.5   0.6 0.002  2.16   0.09   5.27  16.6  7.1 17  12    -4   6  70.6   52   -30    22 999.9  3.72 999999.99 99999.99 99999.99     0.15     0.09     0.07 -1
2017   2  1 2502 51 51  59  35   2.2   1.9  -9.7 191.1  -1.9  -0.4  -0.3  -0.3  -0.4   0.4   1.1   0.8   0.5   0.7  115156.   4.4  463.  -1.7  -0.3 0.051   14486.   0.3    4.   0.6   0.7 0.003  1.90   0.19   9.21  22.1  7.4 17  12    -5   6  70.6   46   -10    36 999.9  3.72 999999.99 99999.99 99999.99     0.16     0.08     0.06 -1
2017   2  2 2502 51 51  57  33   2.3   1.8 -56.8 202.6  -0.9  -0.4  -1.5  -0.1  -1.5   0.9   1.7   0.9   1.0   1.0   79806.   3.7  447.  -1.0  -0.8 0.042   12795.   0.3    6.   0.6   1.2 0.010  1.44   0.67   6.06  18.7  7.5 17  12    -8   6  70.6   49   -17    31 999.9  3.72 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   2  3 2502 51 51  60  37   3.1   1.8 -60.1  51.4   0.5   0.7  -1.5   0.9  -1.4   0.6   2.6   2.2   1.3   0.7   54317.   4.0  429.   0.8   0.4 0.038   11678.   0.5    7.   0.8   0.7 0.005  1.42   0.60   3.16  13.8  7.2 23  12   -10   9  70.6   66   -29    37 999.9  3.72 999999.99 99999.99 99999.99     0.18     0.08     0.06 -1
2017   2  4 2502 51 51  61  37   3.1   2.6 -66.1   6.6   1.0   0.1  -2.4   0.4  -2.4   0.2   1.7   1.3   0.9   0.5   50161.   4.5  431.   1.4   1.4 0.045    5466.   0.2    9.   0.8   0.6 0.004  1.65   1.03   3.48  14.7  7.4 23  12   -11   9  70.6  157   -94    63 999.9  3.72 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017   2  5 2502 51 51  58  35   3.2   3.0 -63.4  80.8   0.2   1.3  -2.7   1.5  -2.6   0.3   0.9   0.5   0.6   0.4   46849.   5.1  426.   0.1   1.4 0.048    3760.   0.5    5.   0.4   0.7 0.004  1.84   1.11   3.63  15.0  7.4 23  12    -9   9  70.6  110   -38    72 999.9  3.72 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017   2  6 2502 51 51  59  34   3.5   3.3 -72.0 106.6  -0.3   1.0  -3.1   1.0  -3.1   0.2   1.2   0.8   0.8   0.5   47556.   5.6  418.  -0.2   1.4 0.046    5717.   0.2    2.   0.4   0.4 0.003  1.93   1.30   3.35  14.1  7.2 20  12   -11   7  70.6  131   -38    93 999.9  3.72 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   2  7 2502 51 51  59  36   3.6   3.5 -81.7 353.4   0.5  -0.1  -3.5  -0.2  -3.5   0.2   0.5   0.3   0.3   0.2   43120.   5.4  413.  -0.1   1.4 0.043    3146.   0.2    3.   0.3   0.2 0.002  1.80   1.45   2.97  13.3  7.1 20  12   -15   7  70.6  141   -95    46 999.9  3.72 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017   2  8 2502 51 51  57  35   3.4   3.2 -64.0 208.8  -1.2  -0.7  -2.9  -0.9  -2.8   0.2   1.0   0.8   0.5   0.4   44610.   5.7  395.   0.7  -0.0 0.042    6248.   0.4    6.   0.5   0.8 0.004  1.73   1.11   3.55  13.9  6.9 20  12   -14   7  70.6  310  -236    74 999.9  3.72 999999.99 99999.99 99999.99     0.19     0.11     0.08 -1
2017   2  9 2502 51 51  61  37   3.3   3.1 -61.3 202.4  -1.4  -0.6  -2.7  -0.8  -2.6   0.3   1.2   0.7   0.7   0.6   41939.   5.3  391.   1.1   0.4 0.044    6161.   0.6    5.   0.6   0.5 0.004  1.59   1.02   3.45  13.6  6.8 17  12   -11   6  70.6  282  -174   108 999.9  3.72 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017   2 10 2502 51 51  54  32   3.5   3.2 -53.2 250.3  -0.6  -1.8  -2.5  -2.0  -2.3   0.3   1.3   1.0   0.7   0.5   38802.   5.2  399.   1.9  -0.1 0.038    4888.   0.3    5.   0.6   0.6 0.003  1.59   0.92   2.95  13.0  6.9 17  12   -11   6  70.6  259  -181    78 999.9  3.72 999999.99 99999.99 99999.99     0.17     0.10     0.08 -1
2017   2 11 2502 51 51  58  31   4.3   4.2 -63.0 267.6  -0.1  -1.9  -3.7  -2.2  -3.5   0.6   1.2   0.6   0.8   0.6   37675.   5.6  400.   2.6   0.1 0.034    4648.   0.4    3.   0.4   0.6 0.004  1.70   1.40   2.09  11.0  6.6 17  12   -13   6  70.6  301  -163   138 999.9  3.72 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017   2 12 2502 51 51  60  37   4.7   4.5 -86.9 225.8  -0.2  -0.2  -4.5  -0.5  -4.5   0.2   1.0   0.7   0.8   0.2   38090.   6.2  397.   2.2   0.5 0.031    4834.   0.4    5.   0.7   0.4 0.003  1.83   1.79   1.94  10.5  6.4 13  12   -17   5  70.6  449  -248   201 999.9  3.72 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017   2 13 2502 51 51  60  36   5.4   5.4 -89.7 215.7   0.0   0.0  -5.4  -0.2  -5.4   0.3   0.8   0.5   0.6   0.4   34436.   5.5  397.   2.1  -0.3 0.030    3036.   0.5    3.   0.5   0.4 0.002  1.62   2.14   1.28   8.6  5.9 13  12   -23   5  70.6  464  -302   161 999.9  3.72 999999.99 99999.99 99999.99     0.18     0.10     0.06 -1
