<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20170101 to 20170201</B><hr><pre>Selected parameters:
 1 Bartels rotation number
 2 ID for IMF spacecraft
 3 ID for SW Plasma spacecraft
 4 # of points in IMF averages 
 5 # of points in Plasma averag.
 6 Scalar B, nT
 7 Vector B Magnitude,nT
 8 Lat. Angle of B (GSE)
 9 Long. Angle of B (GSE)
10 BX, nT (GSE, GSM)
11 BY, nT (GSE)
12 BZ, nT (GSE)
13 BY, nT (GSM)
14 BZ, nT (GSM)
15 RMS_magnitude, nT
16 RMS_field_vector, nT
17 RMS_BX_GSE, nT
18 RMS_BY_GSE, nT
19 RMS_BZ_GSE, nT
20 SW Plasma Temperature, K
21 SW Proton Density, N/cm^3
22 SW Plasma Speed, km/s
23 SW Plasma flow long. angle
24 SW Plasma flow lat. angle
25 Alpha/Prot. ratio
26 sigma-T,K
27 sigma-n, N/cm^3)
28 sigma-V, km/s
29 sigma-phi V, degrees
30 sigma-theta V, degrees
31 sigma-ratio
32 Flow pressure
33 E elecrtric field 
34 Plasma betta
35 Alfen mach number
36 Magnetosonic Much num.
37 Kp index
38 R (Sunspot No.)
39 Dst-index, nT
40 ap_index, nT
41 f10.7_index
42 AE-index, nT
43 AL-index, nT
44 AU-index, nT
45 pc-index
46 Lyman_alpha
47 Proton flux (>1 Mev)
48 Proton flux (>2 Mev)
49 Proton flux (>4 Mev)
50 Proton flux (>10 Mev)
51 Proton flux (>30 Mev)
52 Proton flux (>60 Mev)
53 Flux FLAG

YEAR DOY HR   1   2  3  4   5     6     7     8     9    10    11    12    13    14    15    16    17    18    19       20    21    22    23    24    25       26    27    28    29    30    31    32     33     34    35   36  37 38    39  40    41   42    43    44    45    46        47       48       49       50       51       52  53
2017  16 23 2502 51 51  63  36   4.1   3.1 -38.3  91.0   0.0   2.4  -1.9   2.9  -0.9   0.4   2.7   1.4   1.2   1.9   29528.  13.3  320.   2.4  -2.3 0.007    4000.   0.7    4.   1.2   1.0 0.001  2.34   0.29   5.20  14.2  6.1  3  25     1   2  75.8   17    -4    14 999.9  3.78 999999.99 99999.99 99999.99     0.16     0.08     0.06 -1
2017  17  0 2502 51 51  59  36   4.1   2.9 -28.3  99.8  -0.4   2.6  -1.4   2.9  -0.4   0.4   2.8   1.4   1.1   2.2   28547.  13.2  317.   1.7  -2.2 0.007    2547.   0.8    3.   0.6   0.4 0.001  2.28   0.13   5.13  14.0  6.0  7  30     3   3  76.1   23   -11    12 999.9  3.79 999999.99 99999.99 99999.99     0.18     0.09     0.06 -1
2017  17  1 2502 51 51  60  35   2.9   2.6 -33.2 118.7  -1.1   1.9  -1.4   2.3  -0.7   0.4   1.3   0.4   1.0   0.8   26114.  14.2  315.   2.0  -2.6 0.008    1624.   0.5    1.   0.5   0.2 0.001  2.43   0.22  10.85  20.5  6.4  7  30     2   3  76.1   24   -11    13 999.9  3.79 999999.99 99999.99 99999.99     0.15     0.08     0.06 -1
2017  17  2 2502 51 51  60  36   3.0   2.8 -45.9 142.4  -1.5   1.2  -2.0   1.8  -1.5   0.4   1.0   0.5   0.7   0.6   26154.  13.3  317.   1.4  -2.5 0.007    2321.   0.7    2.   0.4   0.3 0.001  2.29   0.48   9.50  19.3  6.4  7  30    -1   3  76.1   27   -14    13 999.9  3.79 999999.99 99999.99 99999.99     0.19     0.09     0.07 -1
2017  17  3 2502 51 51  59  36   3.9   3.5 -24.7 117.4  -1.5   2.9  -1.5   3.2  -0.7   0.3   1.5   0.6   0.6   1.2   25103.  12.1  317.   1.0  -2.3 0.006    1497.   0.3    2.   0.4   0.3 0.000  2.08   0.22   5.08  14.1  6.1  0  30    -2   0  76.1   20    -7    13 999.9  3.79 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  17  4 2502 51 51  62  38   3.3   3.0   0.8 119.1  -1.5   2.6   0.0   2.5   0.6   0.2   1.3   0.8   0.4   0.9   23624.  11.7  317.   1.0  -2.1 0.006    1780.   0.3    2.   0.3   0.4 0.000  2.01  -0.19   6.79  16.4  6.3  0  30    -2   0  76.1   24    -8    15 999.9  3.79 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017  17  5 2502 51 51  58  35   2.9   2.7  17.4 129.6  -1.6   2.0   0.8   1.8   1.1   0.2   1.2   0.9   0.7   0.5   22952.  11.0  319.   0.9  -1.8 0.006    2059.   0.6    2.   0.3   0.3 0.000  1.91  -0.35   8.23  18.2  6.4  0  30     0   0  76.1   58   -37    21 999.9  3.79 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  17  6 2502 51 51  59  36   3.3   3.0  26.7  88.6   0.1   2.7   1.4   2.5   1.7   0.2   1.2   1.1   0.5   0.4   21659.  10.2  312.   0.8  -1.1 0.007    1262.   0.2    2.   0.3   0.3 0.000  1.70  -0.53   5.85  15.1  6.1  3  30     0   2  76.1   24   -12    12 999.9  3.79 999999.99 99999.99 99999.99     0.18     0.09     0.06 -1
2017  17  7 2502 51 51  61  37   2.9   2.4  31.2 144.8  -1.7   1.2   1.2   1.1   1.3   0.1   1.7   1.1   1.2   0.2   22509.  10.6  312.   0.7  -0.7 0.007    1929.   0.3    2.   0.5   0.2 0.000  1.77  -0.41   7.91  17.5  6.3  3  30     1   2  76.1   31   -21    10 999.9  3.79 999999.99 99999.99 99999.99     0.21     0.11     0.08 -1
2017  17  8 2502 51 51  59  34   2.7   2.6  31.1 166.7  -2.2   0.5   1.4   0.4   1.4   0.1   0.6   0.1   0.5   0.4   21263.  11.1  311.   0.9  -0.1 0.008     859.   0.2    1.   0.2   0.2 0.000  1.85  -0.44   9.48  19.2  6.3  3  30     3   2  76.1   12    -6     6 999.9  3.79 999999.99 99999.99 99999.99     0.19     0.09     0.06 -1
2017  17  9 2502 51 51  60  37   2.5   2.4  -3.4 107.8  -0.7   2.3  -0.1   2.3   0.0   0.1   0.6   0.4   0.2   0.4   21690.  11.6  310.   1.6  -0.1 0.009    1125.   0.3    1.   0.3   0.2 0.000  1.93  -0.00  11.59  21.1  6.4  3  30     5   2  76.1   20   -11     9 999.9  3.79 999999.99 99999.99 99999.99     0.20     0.11     0.07 -1
2017  17 10 2502 51 51  61  37   2.8   2.6 -11.6 101.4  -0.5   2.5  -0.5   2.5  -0.5   0.1   1.0   0.4   0.5   0.7   21210.  11.8  312.   0.8  -0.9 0.008    1495.   0.5    2.   0.4   0.4 0.001  1.98   0.16   9.37  19.1  6.3  3  30     5   2  76.1   47   -38     9 999.9  3.79 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  17 11 2502 51 51  61  36   3.0   2.9 -16.4 127.9  -1.7   2.2  -0.8   2.2  -0.8   0.4   0.9   0.3   0.4   0.7   18597.  13.9  315.  -0.1  -2.0 0.006    1221.   0.8    1.   0.3   0.3 0.001  2.36   0.25   9.44  19.6  6.5  3  30     6   2  76.1  119  -103    16 999.9  3.79 999999.99 99999.99 99999.99     0.17     0.09     0.06 -1
2017  17 12 2502 51 51  58  35   3.1   2.9   8.0 123.6  -1.6   2.4   0.4   2.4   0.5   0.3   1.0   0.3   0.2   0.9   16200.  16.0  312.  -1.9  -1.4 0.005    1750.   1.3    3.   0.6   0.9 0.001  2.65  -0.16  10.01  20.1  6.5 10  30     4   4  76.1  132  -108    24 999.9  3.79 999999.99 99999.99 99999.99     0.18     0.09     0.06 -1
2017  17 13 2502 51 51  62  38   3.5   2.0   6.8 108.4  -0.6   1.9   0.2   1.9   0.3   0.7   2.9   1.7   1.9   1.3   15758.  18.1  313.  -2.6  -0.5 0.004    2300.   0.9    5.   0.6   0.5 0.002  3.01  -0.09   8.86  19.0  6.5 10  30     3   4  76.1   47   -32    16 999.9  3.79 999999.99 99999.99 99999.99     0.16     0.10     0.07 -1
2017  17 14 2502 51 51  60  36   6.0   5.8 -49.2 352.9   3.8  -0.5  -4.4  -0.1  -4.4   0.5   1.4   0.8   1.1   0.4   22005.  14.5  318.  -1.9  -0.7 0.005    2295.   1.3    3.   0.6   0.6 0.001  2.50   1.40   2.52  10.1  5.7 10  30    -2   4  76.1   60   -33    27 999.9  3.79 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017  17 15 2502 51 51  58  36   4.7   4.4 -46.7  54.0   1.8   2.4  -3.2   2.8  -2.9   0.4   1.6   1.0   1.0   0.6   23041.  17.1  312.  -1.9  -0.9 0.004    2611.   0.8    4.   0.5   0.8 0.001  2.82   0.90   4.88  13.7  6.0 20  30    -4   7  76.1   77   -66    11 999.9  3.79 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  17 16 2502 51 51  58  34   4.5   3.8 -21.1  81.3   0.5   3.5  -1.4   3.7  -0.8   0.4   2.3   1.6   0.8   1.6   19529.  18.9  309.  -2.1  -1.3 0.003    2407.   1.3    2.   0.6   0.5 0.001  3.05   0.25   5.74  14.9  6.1 20  30    -3   7  76.1  226  -210    15 999.9  3.79 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  17 17 2502 51 51  59  33   4.8   4.8   9.9 113.9  -1.9   4.3   0.8   4.0   1.7   0.2   0.8   0.4   0.2   0.6   17589.  18.0  305.  -2.5  -1.0 0.004    1270.   0.6    1.   0.2   0.3 0.000  2.84  -0.52   4.74  13.5  6.0 20  30     1   7  76.1  226  -212    14 999.9  3.79 999999.99 99999.99 99999.99     0.18     0.10     0.08 -1
2017  17 18 2502 51 51  59  34   5.4   5.4  10.8 123.9  -3.0   4.4   1.0   4.0   2.1   0.3   0.6   0.4   0.2   0.3   15823.  17.1  302.  -3.1  -0.9 0.003    1509.   0.6    2.   0.3   0.2 0.000  2.64  -0.63   3.52  11.6  5.8  3  30     4   2  76.1   45   -36     9 999.9  3.79 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017  17 19 2502 51 51  60  36   4.5   4.4   9.2 139.7  -3.4   2.8   0.7   2.5   1.5   1.0   1.3   0.6   1.0   0.5   15413.  18.2  300.  -3.1  -0.4 0.003    1385.   1.3    1.   0.4   0.2 0.000  2.77  -0.45   5.38  14.2  6.0  3  30     6   2  76.1   21    -4    17 999.9  3.79 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  17 20 2502 51 51  60  37   2.6   2.6  10.4 176.8  -2.5   0.1   0.5  -0.1   0.5   0.1   0.6   0.1   0.4   0.4   16433.  18.5  301.  -2.3   0.2 0.003    2115.   0.7    1.   0.2   0.5 0.000  2.83  -0.15  16.48  24.9  6.4  3  30     8   2  76.1   21    -1    20 999.9  3.79 999999.99 99999.99 99999.99     0.19     0.09     0.06 -1
2017  17 21 2502 51 51  63  38   2.5   1.6 -23.2 149.1  -1.2   0.7  -0.6   0.9  -0.3   0.2   1.9   1.7   0.4   0.8   18479.  19.4  305.  -3.1   1.2 0.003    1751.   1.2    4.   0.4   0.3 0.001  3.05   0.09  18.96  26.9  6.4  3  30     7   2  76.1   15     0    15 999.9  3.79 999999.99 99999.99 99999.99     0.18     0.10     0.08 -1
2017  17 22 2502 51 51  58  34   4.2   4.1  11.8 154.7  -3.6   1.7   0.8   1.3   1.4   0.7   1.0   0.7   0.2   0.6   17655.  25.9  307.  -5.1   0.5 0.005    1598.   3.0    2.   0.6   0.4 0.000  4.16  -0.43   8.92  18.6  6.3  3  30    10   2  76.1   15     2    17 999.9  3.79 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  17 23 2502 51 51  61  38   4.5   4.5   9.5 162.9  -4.2   1.3   0.7   0.9   1.1   0.4   0.7   0.4   0.3   0.5   21771.  33.2  308.  -5.2   0.6 0.005    2470.   2.0    2.   0.3   0.3 0.000  5.36  -0.34  10.24  19.7  6.3  3  30    18   2  76.1   21     0    21 999.9  3.79 999999.99 99999.99 99999.99     0.18     0.10     0.08 -1
2017  18  0 2502 51 51  61  36   3.7   3.6  -6.6 145.8  -2.9   2.0  -0.4   2.0   0.4   0.8   1.3   0.9   0.7   0.6   22949.  35.0  310.  -4.9   2.1 0.004    1978.   1.4    1.   0.3   0.5 0.000  5.71  -0.12  16.09  24.8  6.4  3  36    21   2  76.1   16     1    17 999.9  3.81 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017  18  1 2502 51 51  60  35   5.9   5.7   5.3 140.5  -4.4   3.6   0.5   3.2   1.7   1.0   1.7   0.7   0.8   1.3   23265.  37.4  314.  -4.9   3.8 0.005    2458.   1.8    2.   0.4   0.7 0.001  6.28  -0.53   6.78  16.3  6.2  3  36    24   2  76.1   18     2    20 999.9  3.81 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017  18  2 2502 51 51  62  37   9.7   8.9  18.1 131.5  -5.6   6.4   2.8   5.2   4.7   1.5   3.9   1.4   1.6   3.3   23989.  41.0  323.  -5.7   3.4 0.006    4434.   4.6    5.   0.5   0.5 0.002  7.31  -1.52   2.76  10.7  5.8  3  36    27   2  76.1   21     3    24 999.9  3.81 999999.99 99999.99 99999.99     0.19     0.10     0.08 -1
2017  18  3 2502 51 51  61  37   8.8   4.9  54.6  45.0   2.0   2.0   4.0   0.8   4.4   2.1   7.5   6.0   4.4   1.2   30977.  48.6  326.  -6.0   4.2 0.006    4516.   7.0    2.   0.7   0.7 0.001  8.83  -1.43   4.16  12.9  6.0 27  36    32  12  76.1   24     4    28 999.9  3.81 999999.99 99999.99 99999.99     0.16     0.10     0.08 -1
2017  18  4 2502 51 51  65  38  12.2   6.9 -53.3 171.5  -4.1   0.6  -5.5   1.8  -5.2   1.8  10.1   7.9   4.8   4.2   33313.  42.9  342.  -5.4   2.3 0.011    6956.   4.2    8.   1.5   0.8 0.005  8.75   1.78   1.94   9.2  5.6 27  36    31  12  76.1   54    -3    51 999.9  3.81 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017  18  5 2502 51 51  69  42  14.2  12.6  18.0 129.1  -7.6   9.3   3.9   8.5   5.5   1.9   6.7   2.5   1.8   6.0   86305.  22.9  377.  -0.4   1.1 0.032   43574.   8.5   15.   2.2   1.6 0.016  6.13  -2.07   1.01   6.4  4.6 27  36    17  12  76.1  198  -134    64 999.9  3.81 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017  18  6 2502 51 51  61  36  11.9  11.3 -24.1 151.3  -9.0   4.9  -4.6   5.5  -3.9   2.2   4.3   1.7   2.8   2.7  185659.  18.8  412.   3.5   1.6 0.050   33122.   2.1    9.   1.9   1.2 0.011  6.40   1.61   1.73   7.5  4.7 27  36    10  12  76.1  273  -196    78 999.9  3.81 999999.99 99999.99 99999.99     0.15     0.08     0.06 -1
2017  18  7 2502 51 51  62  38  15.5  15.2  -7.7 136.4 -10.9  10.4  -2.0  10.5  -1.1   0.6   3.0   0.8   1.4   2.5  162598.  11.6  421.   4.7   2.6 0.046   24774.   1.2    6.   1.0   0.8 0.011  4.07   0.46   0.58   4.6  3.8 27  36     3  12  76.1  460  -354   106 999.9  3.81 999999.99 99999.99 99999.99     0.19     0.11     0.08 -1
2017  18  8 2502 51 51  62  38  15.4  15.2  -3.5 139.6 -11.5   9.8  -0.9   9.8  -0.4   0.6   2.6   0.8   1.5   2.0  225342.  10.1  437.   5.0   3.6 0.060   70318.   1.4   14.   1.0   1.3 0.019  3.99   0.17   0.63   4.5  3.6 27  36    -5  12  76.1  449  -310   138 999.9  3.81 999999.99 99999.99 99999.99     0.18     0.12     0.08 -1
2017  18  9 2502 51 51  62  38  15.9  15.8   2.4 140.4 -12.2  10.1   0.7  10.1   1.0   0.2   1.3   0.5   0.7   1.0  205101.   9.3  455.   6.6   2.7 0.037   34643.   0.7    6.   0.9   1.2 0.009  3.69  -0.46   0.51   4.4  3.6 27  36   -13  12  76.1  355  -232   123 999.9  3.81 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  18 10 2502 51 51  63  38  14.5  13.5  15.1 132.0  -8.7   9.7   3.5   9.6   3.7   1.6   5.1   2.9   2.8   3.2  295791.   9.7  478.   6.7  -0.4 0.055  131571.   1.3   25.   2.3   2.0 0.025  4.52  -1.77   0.81   5.1  3.9 27  36   -10  12  76.1  463  -346   117 999.9  3.81 999999.99 99999.99 99999.99     0.18     0.11     0.08 -1
2017  18 11 2502 51 51  61  35  13.8  13.2  -7.3 131.4  -8.7   9.8  -1.7   9.8  -1.4   0.9   3.7   2.3   1.9   2.2  275559.   9.0  502.   6.2  -1.1 0.061   54334.   0.8   12.   1.7   1.8 0.022  4.71   0.70   0.79   5.5  4.2 27  36    -8  12  76.1  461  -322   139 999.9  3.81 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  18 12 2502 51 51  61  37  13.3  12.4 -11.9 145.6 -10.0   6.9  -2.6   7.0  -2.3   0.6   4.7   1.4   1.8   4.1  243788.   9.3  508.   7.1  -1.5 0.048   63938.   0.6    5.   1.5   2.3 0.017  4.78   1.17   0.81   5.8  4.5 33  36    -5  18  76.1  486  -374   112 999.9  3.81 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  18 13 2502 51 51  63  39  12.4  11.9 -22.4 141.0  -8.6   6.9  -4.5   7.2  -4.0   1.8   3.8   1.7   2.6   2.2  286750.   7.9  528.   5.1   0.1 0.053   76469.   0.9   11.   1.7   1.1 0.004  4.46   2.11   0.89   6.0  4.5 33  36   -15  18  76.1  542  -472    70 999.9  3.81 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017  18 14 2502 51 51  63  36   8.5   8.1   9.0 134.5  -5.6   5.7   1.3   5.5   1.9   0.4   2.4   1.6   0.8   1.6  311443.   6.1  556.   2.3  -0.3 0.052   34536.   0.3   10.   1.1   1.7 0.008  3.80  -1.06   1.54   8.1  5.3 33  36   -24  18  76.1  645  -491   154 999.9  3.81 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017  18 15 2502 51 51  57  35   8.2   6.9  12.2 125.2  -3.9   5.5   1.5   5.2   2.2   0.4   4.3   2.8   1.3   3.0  254271.   5.4  569.   1.2  -1.7 0.039   54320.   0.4   27.   1.6   2.5 0.011  3.38  -1.25   1.28   8.1  5.6 33  36   -22  18  76.1  221  -142    79 999.9  3.81 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  18 16 2502 51 51  60  36   7.3   5.1   4.9 140.4  -3.9   3.2   0.4   3.1   1.0   0.5   4.9   3.5   2.3   2.6  299600.   5.6  566.   3.5  -0.7 0.027   81389.   0.5   29.   2.1   2.8 0.006  3.32  -0.57   1.87   9.2  5.7 33  36   -18  18  76.1  155  -106    49 999.9  3.81 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017  18 17 2502 51 51  65  39   7.4   4.4 -25.6 135.6  -2.8   2.7  -1.9   3.1  -1.2   0.5   5.8   2.5   3.2   4.1  306304.   5.3  574.   3.9   0.3 0.034   42462.   0.5   17.   2.8   2.5 0.010  3.31   0.69   1.75   8.9  5.6 33  36   -17  18  76.1  605  -495   110 999.9  3.81 999999.99 99999.99 99999.99     0.18     0.09     0.07 -1
2017  18 18 2502 51 51  56  32   8.6   7.8   6.5 126.7  -4.7   6.2   0.9   5.7   2.5   0.3   3.4   1.4   1.3   2.8  287167.   4.8  557.   1.2  -2.2 0.041   43082.   0.4   12.   1.3   2.0 0.006  2.89  -1.39   1.12   7.1  5.1 37  36   -20  22  76.1  281  -211    70 999.9  3.81 999999.99 99999.99 99999.99     0.19     0.09     0.07 -1
2017  18 19 2502 51 51  60  36   7.6   7.1 -24.9 148.2  -5.4   3.4  -3.0   4.2  -1.8   0.4   2.6   1.1   1.4   1.9  284119.   4.9  551.   3.9   0.2 0.047   44285.   0.2   12.   1.5   1.8 0.007  2.95   0.99   1.46   8.0  5.3 37  36   -20  22  76.1  274  -192    82 999.9  3.81 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  18 20 2502 51 51  59  35   6.8   4.7  19.2 146.4  -3.7   2.5   1.5   1.8   2.3   1.0   4.7   2.9   2.7   2.7  340051.   5.3  559.   3.7  -3.5 0.051   94931.   0.6   14.   1.8   2.0 0.012  3.33  -1.29   2.23   9.5  5.5 37  36   -22  22  76.1  370  -265   104 999.9  3.81 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  18 21 2502 51 51  62  36   7.7   6.1  -1.0 138.6  -4.6   4.0  -0.1   3.8   1.4   0.2   4.4   1.9   3.1   2.5  311384.   5.1  558.   2.9  -2.6 0.057   56179.   0.4   17.   3.0   2.2 0.011  3.26  -0.78   1.57   8.2  5.3 33  36   -18  18  76.1  358  -252   106 999.9  3.81 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  18 22 2502 51 51  60  36   7.4   4.2  -9.7 130.9  -2.7   3.1  -0.7   3.1   0.5   0.6   5.8   2.1   4.5   3.0  334479.   4.8  576.   3.7  -1.9 0.057   59299.   0.5   17.   3.7   2.8 0.014  3.27  -0.29   1.69   8.5  5.4 33  36   -16  18  76.1  207  -151    56 999.9  3.81 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  18 23 2502 51 51  58  34   7.7   6.0  -5.2 127.1  -3.6   4.8  -0.5   4.6   1.4   0.7   4.4   1.2   2.5   3.4  296471.   4.8  570.   3.4  -2.8 0.065   54626.   0.4   13.   2.6   3.1 0.010  3.28  -0.80   1.43   8.1  5.4 33  36   -17  18  76.1  247  -182    65 999.9  3.81 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  19  0 2502 51 51  62  35   8.7   6.8 -14.5 112.9  -2.5   6.0  -1.7   6.2   0.6   0.5   5.2   1.9   3.3   3.6  257153.   4.5  588.   2.2  -2.4 0.056   43941.   0.4   16.   3.3   3.0 0.008  3.18  -0.35   0.95   7.2  5.3 33  33   -19  18  77.0  251  -185    67 999.9  3.83 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  19  1 2502 51 51  61  35   7.1   3.3  -0.2 215.5  -2.7  -1.9   0.0  -1.8  -0.7   0.5   6.1   2.2   5.3   2.2  227242.   4.2  594.   7.5  -3.0 0.052   40901.   0.4   19.   3.9   2.3 0.009  2.99   0.42   1.23   8.6  6.0 33  33   -23  18  77.0  522  -424    98 999.9  3.83 999999.99 99999.99 99999.99     0.16     0.09     0.06 -1
2017  19  2 2502 51 51  60  35   7.0   4.9 -34.6 120.9  -2.1   3.4  -2.8   4.1  -1.6   0.5   4.9   2.3   2.5   3.5  220073.   3.7  603.   2.0  -1.0 0.056   36476.   0.3   21.   2.4   3.0 0.006  2.75   0.96   1.09   8.3  5.9 33  33   -29  18  77.0  518  -380   138 999.9  3.83 999999.99 99999.99 99999.99     0.18     0.09     0.06 -1
2017  19  3 2502 51 51  62  35   6.8   5.5   5.6 135.4  -3.9   3.9   0.5   3.6   1.6   0.1   3.8   1.5   2.0   2.9  173101.   3.7  581.   1.7  -2.4 0.052   34960.   0.4   15.   2.4   2.9 0.005  2.52  -0.93   1.00   8.2  6.0 27  33   -33  12  77.0  328  -184   144 999.9  3.83 999999.99 99999.99 99999.99     0.16     0.09     0.07 -1
2017  19  4 2502 51 51  57  35   6.6   4.6 -14.2 144.9  -3.6   2.6  -1.1   2.8  -0.5   0.3   4.6   2.6   2.7   2.7  178486.   3.9  590.   2.5  -0.7 0.053   45996.   0.5   18.   2.7   2.4 0.010  2.75   0.29   1.14   8.8  6.3 27  33   -26  12  77.0  158   -67    91 999.9  3.83 999999.99 99999.99 99999.99     0.18     0.10     0.07 -1
2017  19  5 2502 51 51  61  35   5.6   4.0   9.5 133.1  -2.7   2.9   0.7   2.7   1.2   0.3   3.8   1.7   2.7   2.1  196894.   4.0  598.   1.8  -2.1 0.059   39458.   0.3   18.   2.6   2.1 0.008  2.95  -0.72   1.73  10.7  6.8 27  33   -21  12  77.0  172  -117    55 999.9  3.83 999999.99 99999.99 99999.99     0.17     0.09     0.07 -1
2017  19  6 2502 51 51  60  34   5.7   5.0  -1.8 126.6  -3.0   4.0  -0.2   4.0   0.3   0.2   2.5   1.4   1.0   1.7  173276.   3.8  593.  -0.2  -1.5 0.055   38009.   0.4   14.   1.2   1.5 0.004  2.72  -0.18   1.47  10.1  6.7 27  33   -17  12  77.0  189  -145    44 999.9  3.83 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017  19  7 2502 51 51  61  35   5.5   4.7 -21.0 132.1  -2.9   3.2  -1.7   3.3  -1.4   0.2   2.6   1.5   1.4   1.6  194235.   3.8  596.   0.3  -0.0 0.057   54736.   0.4   14.   1.5   1.3 0.006  2.77   0.83   1.69  10.6  6.7 27  33   -18  12  77.0  311  -262    49 999.9  3.83 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  19  8 2502 51 51  59  36   5.7   5.1 -37.0 174.1  -4.1   0.4  -3.1   0.6  -3.1   0.1   2.4   0.9   1.9   1.1  168287.   3.8  591.   2.3   0.2 0.049   42476.   0.3   10.   1.8   0.8 0.005  2.65   1.83   1.44  10.1  6.7 27  33   -25  12  77.0  327  -255    72 999.9  3.83 999999.99 99999.99 99999.99     0.18     0.12     0.08 -1
2017  19  9 2502 51 51  62  37   5.3   4.5 -32.1  96.6  -0.4   3.8  -2.4   3.9  -2.2   0.3   2.4   1.9   1.0   1.2  184673.   3.6  610.  -0.5   0.7 0.052   29921.   0.4   11.   1.1   0.8 0.006  2.70   1.34   1.67  10.9  7.0 27  33   -21  12  77.0  537  -376   161 999.9  3.83 999999.99 99999.99 99999.99     0.18     0.11     0.08 -1
2017  19 10 2502 51 51  60  36   5.1   3.2  -8.5 132.2  -2.1   2.3  -0.5   2.3  -0.4   0.3   4.0   2.8   2.0   1.9  177530.   3.8  605.   0.6  -0.8 0.044   21578.   0.4   10.   1.7   1.2 0.004  2.73   0.24   1.86  11.6  7.2 27  33   -18  12  77.0  387  -261   126 999.9  3.83 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
2017  19 11 2502 51 51  60  35   4.4   3.2  20.3  99.1  -0.5   3.0   1.1   3.0   1.2   0.5   2.9   1.5   1.1   2.2  203321.   3.4  610.  -0.2  -1.5 0.047   31065.   0.4   12.   0.7   1.4 0.005  2.51  -0.73   2.42  12.8  7.3 27  33   -15  12  77.0  252  -179    74 999.9  3.83 999999.99 99999.99 99999.99     0.16     0.08     0.06 -1
2017  19 12 2502 51 51  58  35   4.4   3.4  -4.5 122.6  -1.8   2.8  -0.3   2.8  -0.2   0.6   2.8   1.7   1.0   2.0  191650.   3.1  601.  -0.3   0.0 0.052   45788.   0.3   14.   1.0   1.9 0.004  2.26   0.12   2.13  12.0  7.1 17  33   -13   6  77.0  161  -115    47 999.9  3.83 999999.99 99999.99 99999.99     0.19     0.10     0.07 -1
2017  19 13 2502 51 51  61  37   4.8   4.4 -15.8 156.4  -3.9   1.7  -1.2   1.8  -1.1   0.1   1.8   0.6   0.9   1.5  139774.   3.2  580.   0.4   0.9 0.058   32768.   0.2    8.   1.5   1.2 0.007  2.21   0.64   1.55  10.8  7.1 17  33   -16   6  77.0  146  -114    32 999.9  3.83 999999.99 99999.99 99999.99     0.15     0.09     0.07 -1
2017  19 14 2502 51 51  60  36   4.7   4.2 -30.3 118.4  -1.7   3.2  -2.1   3.4  -1.8   0.2   2.0   0.9   1.2   1.4  170412.   2.9  595.   0.0   2.1 0.053   25908.   0.2    8.   1.1   1.3 0.005  2.08   1.07   1.63  10.8  6.9 17  33   -13   6  77.0  114   -84    30 999.9  3.83 999999.99 99999.99 99999.99     0.17     0.10     0.07 -1
